id,name,type,reason,team,fixture,league
666,M. Dembele,Missing Fixture,Muscle Injury,Atletico Madrid,2021-04-11T19:00:00+00:00,La Liga
926,G. Kondogbia,Missing Fixture,Suspended,Atletico Madrid,2021-04-11T19:00:00+00:00,La Liga
753,M. Llorente,Missing Fixture,Suspended,Atletico Madrid,2021-04-11T19:00:00+00:00,La Liga
157,L. Suarez,Missing Fixture,Suspended,Atletico Madrid,2021-04-11T19:00:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Ankle Injury,Atletico Madrid,2021-04-18T14:15:00+00:00,La Liga
157,L. Suarez,Missing Fixture,Muscle Injury,Atletico Madrid,2021-04-18T14:15:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Ankle Injury,Atletico Madrid,2021-04-22T17:00:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2021-04-22T17:00:00+00:00,La Liga
157,L. Suarez,Missing Fixture,Muscle Injury,Atletico Madrid,2021-04-22T17:00:00+00:00,La Liga
31,J. Gimenez,Missing Fixture,Suspended,Atletico Madrid,2021-04-25T19:00:00+00:00,La Liga
10122,Renan Lodi,Missing Fixture,Muscle Injury,Atletico Madrid,2021-05-01T14:15:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2021-05-12T20:00:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2021-05-16T16:30:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2021-05-22T16:00:00+00:00,La Liga
39,S. Savic,Missing Fixture,Suspended,Atletico Madrid,2021-05-22T16:00:00+00:00,La Liga
